Year,recruitment,high_recruitment,low_recruitment,low_SSB,SSB,high_SSB,catches,landings,discards,low_F,F,high_F,StockPublishNote,Purpose,Fage,fishstock,recruitment_age,AssessmentYear,units,stockSizeDescription,stockSizeUnits,fishingPressureDescription,fishingPressureUnits
1963,398864,549476,289535,114396,145056,183934,118283,107430,10847,0.42,0.49,0.56,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1964,651351,895960,473524,126165,157003,195380,144210,134769,9449,0.46,0.53,0.6,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1965,874233,1198275,637821,159332,192537,232663,198155,181361,16807,0.51,0.58,0.66,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1966,1062544,1454771,776067,177765,213818,257183,241231,215189,26091,0.52,0.59,0.66,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1967,890549,1219843,650148,202125,242898,291894,286540,260373,26136,0.55,0.62,0.7,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1968,448728,615830,326969,219047,255832,298795,292477,275773,16681,0.58,0.66,0.74,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1969,392556,542441,284087,213202,251522,296728,225762,216360,9424,0.56,0.63,0.7,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1970,1321591,1814110,962787,222799,261751,307513,251899,232054,19859,0.6,0.66,0.74,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1971,1734814,2391374,1258515,226760,266191,312478,350021,292020,58017,0.67,0.75,0.83,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1972,428894,592209,310617,202254,237657,279256,361880,327803,34046,0.72,0.8,0.89,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1973,635387,877028,460324,185078,210703,239875,259740,234526,25206,0.71,0.79,0.88,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1974,631387,873017,456634,197922,225799,257601,236937,209859,27104,0.69,0.76,0.85,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1975,1085420,1513751,778290,176897,203488,234076,247633,209922,37671,0.74,0.82,0.9,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1976,752472,1057572,535390,148538,173152,201844,247660,202162,45542,0.78,0.87,0.96,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1977,1832441,2558226,1312566,125714,146146,169898,265383,183453,82031,0.75,0.83,0.92,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1978,1121065,1572378,799291,129326,145892,164581,356798,307773,48985,0.82,0.91,1,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1979,1400592,1957266,1002243,129715,145125,162367,343305,278783,64566,0.78,0.86,0.95,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1980,2261414,3177261,1609560,142629,158705,176594,396357,291866,104684,0.84,0.93,1.02,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1981,876555,1227423,625986,151389,167149,184549,399527,345144,54320,0.86,0.95,1.04,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1982,1439757,1995138,1038977,150999,167389,185559,384530,321748,62777,0.95,1.05,1.15,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1983,800367,1090675,587331,123166,136979,152341,325602,288183,37468,0.95,1.05,1.15,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1984,1481585,2017329,1088119,106746,119012,132688,283415,212301,71033,0.9,0.99,1.08,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1985,358913,494121,260702,105134,117385,131064,246901,217803,29104,0.87,0.96,1.05,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1986,1625467,2206050,1197681,98046,108388,119821,231527,170475,61119,0.91,1,1.1,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1987,617457,834739,456733,99353,110237,122313,262723,229202,33415,0.9,0.98,1.08,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1988,426224,576976,314860,100818,110178,120407,208250,193235,14945,0.92,1,1.1,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1989,745534,1013774,548269,92366,101541,111628,181081,139531,41591,0.93,1.02,1.12,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1990,295322,398465,218878,81318,89913,99416,140509,116636,23863,0.87,0.96,1.05,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1991,339399,456792,252176,79517,88668,98872,119036,102857,16145,0.85,0.94,1.04,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1992,792194,1066706,588326,76304,85350,95469,142253,109586,32620,0.84,0.94,1.04,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1993,394504,526625,295530,75168,88375,103903,160067,131155,28888,0.84,0.94,1.06,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1994,955384,1296879,703812,80601,95545,113260,150152,106816,43321,0.85,0.96,1.08,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1995,547278,736786,406514,93376,110842,131576,162904,131086,31863,0.88,0.99,1.12,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1996,351284,470004,262552,93005,110348,130925,152119,131082,21009,0.88,0.99,1.11,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1997,1089999,1493796,795354,84553,99750,117677,177989,132921,45101,0.87,0.98,1.09,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1998,111936,151243,82845,81382,96772,115072,186600,145364,41167,0.89,1,1.12,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
1999,229672,306175,172285,68841,82354,98519,107600,94675,12943,0.93,1.04,1.17,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2000,422524,563014,317091,54088,64321,76489,89053,72967,16092,0.93,1.04,1.17,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2001,154024,205968,115180,51786,61256,72457,55809,44424,11364,0.87,0.98,1.1,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2002,233307,310502,175304,46982,55558,65700,64473,53283,11192,0.82,0.92,1.04,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2003,115009,153924,85932,48072,56871,67281,35670,31050,4611,0.8,0.9,1.02,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2004,196468,258136,149532,38670,45670,53936,34754,27272,7481,0.76,0.86,0.97,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2005,154259,205407,115848,41744,48389,56091,41163,29829,11339,0.7,0.8,0.91,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2006,359929,469998,275636,39031,44507,50752,31598,22506,9090,0.66,0.74,0.82,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2007,168870,220096,129567,67842,76643,86586,52945,23937,29014,0.61,0.69,0.78,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2008,190204,248057,145843,74197,83653,94314,52075,26944,25136,0.58,0.66,0.75,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2009,183318,239642,140233,78842,89933,102583,54216,32995,21216,0.57,0.65,0.74,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2010,274919,360733,209519,75989,88828,103836,48475,36089,12390,0.5,0.58,0.67,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2011,132904,174013,101506,79729,96198,116068,44569,34227,10349,0.41,0.48,0.57,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2012,179434,234092,137538,76751,93960,115029,40172,32571,7602,0.38,0.45,0.53,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2013,226194,295435,173181,81167,99494,121960,41713,30884,10838,0.38,0.44,0.52,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2014,317568,415153,242921,86598,105714,129050,45878,34886,10993,0.38,0.44,0.52,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2015,155316,203058,118799,97172,119893,147926,51334,38139,13199,0.37,0.43,0.51,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2016,109912,147083,82134,97197,119699,147411,51137,38589,12544,0.36,0.42,0.5,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2017,385593,573460,259272,90267,113502,142718,46702,37629,9079,0.37,0.44,0.53,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
2018,97383,235049,40347,90333,118387,155154,NA,NA,NA,NA,NA,NA,Stock published,Advice,NA,cod.27.47d20,1,2018,tonnes,SSB,tonnes,F,Year-1
