recruitment,yearclass,ssb
651351,1963,157003
874233,1964,192537
1062544,1965,213818
890549,1966,242898
448728,1967,255832
392556,1968,251522
1321591,1969,261751
1734814,1970,266191
428894,1971,237657
635387,1972,210703
631387,1973,225799
1085420,1974,203488
752472,1975,173152
1832441,1976,146146
1121065,1977,145892
1400592,1978,145125
2261414,1979,158705
876555,1980,167149
1439757,1981,167389
800367,1982,136979
1481585,1983,119012
358913,1984,117385
1625467,1985,108388
617457,1986,110237
426224,1987,110178
745534,1988,101541
295322,1989,89913
339399,1990,88668
792194,1991,85350
394504,1992,88375
955384,1993,95545
547278,1994,110842
351284,1995,110348
1089999,1996,99750
111936,1997,96772
229672,1998,82354
422524,1999,64321
154024,2000,61256
233307,2001,55558
115009,2002,56871
196468,2003,45670
154259,2004,48389
359929,2005,44507
168870,2006,76643
190204,2007,83653
183318,2008,89933
274919,2009,88828
132904,2010,96198
179434,2011,93960
226194,2012,99494
317568,2013,105714
155316,2014,119893
109912,2015,119699
385593,2016,113502
97383,2017,118387
