recruitment,yearclass,ssb,fit,se.fit,rec_fit,rec_fit_cil,rec_fit_ciu
651351,1963,157003,13.5527083189609,0.105099562453558,768893.939508407,948756.485844153,623129.221284576
874233,1964,192537,13.7536993582758,0.138232930758889,940060.353725271,1239433.79925012,712997.716522454
1062544,1965,213818,13.8567201292371,0.164344834080042,1042070.47069804,1447588.74745147,750151.496972199
890549,1966,242898,13.9817549247999,0.203781747578924,1180861.62988833,1775013.20439148,785590.882080541
448728,1967,255832,14.0325305437416,0.222182268839534,1242368.93159851,1937472.9550352,796646.249017289
392556,1968,251522,14.0159078310941,0.21600616853646,1221888.08505391,1882140.34416497,793251.415615932
1321591,1969,261751,14.0548981209485,0.230728012066668,1270470.82864631,2015452.2000467,800860.534625355
1734814,1970,266191,14.071339647544,0.23718267519997,1291531.97280334,2075484.12553408,803694.336300473
428894,1971,237657,13.9603890353272,0.196451070929779,1155899.09382663,1712202.61264159,780341.476671313
635387,1972,210703,13.8423103292953,0.160340085989694,1027162.11486876,1415495.92016765,745365.631358869
631387,1973,225799,13.9102177352272,0.180194326212671,1099336.89715087,1576324.43447538,766683.296284443
1085420,1974,203488,13.8080835170165,0.151283194910523,992600.471367016,1343313.53487212,733451.774422728
752472,1975,173152,13.6492351082498,0.117959896469895,846812.94767691,1072126.80427737,668850.144863777
1832441,1976,146146,13.4819760391051,0.0993095913605031,716387.169345307,873789.886982693,587338.654347171
1121065,1977,145892,13.4802582147913,0.0992062385835666,715157.598443539,872109.869387768,586451.786138568
1400592,1978,145125,13.4750524868865,0.0989035507014654,711444.356027432,867056.645151097,583760.097513678
2261414,1979,158705,13.5633452937497,0.10623450417574,777116.297941376,961081.317637246,628364.873443571
876555,1980,167149,13.6144631992779,0.112665120807208,817873.697212704,1024580.11312199,652869.771748862
1439757,1981,167389,13.615877533053,0.112866003432242,819031.262005026,1026442.54273312,653531.181935781
800367,1982,136979,13.4179798372849,0.096589539619539,671977.29873137,815175.671235349,553933.962879445
1481585,1983,119012,13.2789097989286,0.0975908694271084,584732.524704594,710761.022588082,481050.753461986
358913,1984,117385,13.2652834459413,0.0980948178350907,576818.793020287,701848.664134401,474062.197427886
1625467,1985,108388,13.1863094801974,0.102033351527495,533017.470453644,653681.940905474,434626.698444901
617457,1986,110237,13.2030669025379,0.101070433912324,542024.727751008,663449.335487477,442823.271919759
426224,1987,110178,13.2025365836857,0.101099974229347,541737.35802504,663136.766457794,442562.349012252
745534,1988,101541,13.1216390635532,0.106237114510328,499637.974200394,617919.390948397,403997.849751767
295322,1989,89913,13.0010112488122,0.115408314676463,442861.00831369,557840.232212256,351580.723941032
339399,1990,88668,12.9871740157192,0.116522315222461,436775.239517248,551401.581744071,345977.625330597
792194,1991,85350,12.9493185578965,0.119601403912902,420549.958157771,534197.748920304,331080.143381303
394504,1992,88375,12.9838890862913,0.116787843497971,435342.817669997,549885.180829857,344659.895381857
955384,1993,95545,13.0612854313666,0.110673878477508,470374.954595088,586913.769877367,376976.328152194
547278,1994,110842,13.2084884435387,0.10077208583239,544971.317346632,666658.110286466,445496.322849659
351284,1995,110348,13.2040638448975,0.101015071989,542565.364609151,664037.557178948,443314.044049064
1089999,1996,99750,13.1039963013605,0.107492558732688,490900.285367312,608639.500870846,395937.315650574
111936,1997,96772,13.0739410775411,0.109712804685825,476365.681893586,593247.337864642,382512.062679862
229672,1998,82354,12.9138408090512,0.122511441942164,405891.356948429,518587.315639327,317685.737149842
422524,1999,64321,12.6682388474338,0.142173909327846,317501.825668009,421926.609218614,238921.668128988
154024,2000,61256,12.6196760393211,0.145816002411482,302451.447464447,404864.630340857,225944.355762381
233307,2001,55558,12.5225280099163,0.152771470548417,274450.997885063,372529.292395407,202194.436189887
115009,2002,56871,12.5457739865088,0.151148694082538,280905.610588714,380055.044315389,207622.456905838
196468,2003,45670,12.3273859363002,0.165332186628469,225795.711105769,314283.369812247,162222.083797236
154259,2004,48389,12.3849847910269,0.161822396782978,239183.134595007,330588.468947082,173050.717881665
359929,2005,44507,12.3016900370354,0.166845268257809,220067.596956964,307238.799750371,157629.008021648
168870,2006,76643,12.8424594210687,0.12836839060786,377928.166590843,488549.561727838,292354.574216738
190204,2007,83653,12.9293802172624,0.1212351892173,412247.929207737,525366.080989032,323485.587071267
183318,2008,89933,13.0012319545674,0.115390609886605,442958.761073853,557943.607451004,351670.780687837
274919,2009,88828,12.9889632197027,0.116377852394862,437557.419046362,552229.458454781,346697.359279306
132904,2010,96198,13.0680409325815,0.110159123100774,473563.330585661,590284.072477147,379922.54667191
179434,2011,93960,13.0446925107389,0.111953739316674,462634.456637591,578735.013456781,369824.937997021
226194,2012,99494,13.1014484328838,0.107676995834526,489651.128025096,607314.722750269,394784.150943167
317568,2013,105714,13.1615576259075,0.103558543374891,519986.23856402,639648.901025996,422709.533092701
155316,2014,119893,13.2862099663841,0.0973457414701166,589016.788948265,715617.760487601,484812.978127499
109912,2015,119699,13.2846071018664,0.0973980341000011,588073.43107631,714546.368063379,483985.890621992
385593,2016,113502,13.2319761392746,0.0995606162791591,557922.944355298,680850.051254499,457190.259829665
97383,2017,118387,13.27369772576,0.0977766273511273,581692.784557177,707328.85661665,478372.248552651
